"","Sample","ROI","c"
"483","IDOR","hemisphere",NA
"484","IDOR","hemisphere",NA
"485","IDOR","F",1.96456361751185
"486","IDOR","F",1.91936043062831
"487","IDOR","P",4.31020094961309
"488","IDOR","P",4.10938707403359
"489","IDOR","T",3.48186592613695
"490","IDOR","T",3.61960308558591
"491","IDOR","O",3.01707789870769
"492","IDOR","O",3.14072530514997
"493","IDOR","hemisphere",NA
"494","IDOR","hemisphere",NA
"495","IDOR","F",1.99010792015673
"496","IDOR","F",1.94798974454088
"497","IDOR","P",4.54186852549577
"498","IDOR","P",5.01532980821601
"499","IDOR","T",3.227300281026
"500","IDOR","T",3.05984613674419
"501","IDOR","O",3.07744269745369
"502","IDOR","O",3.13748961882779
"503","IDOR","hemisphere",NA
"504","IDOR","hemisphere",NA
"505","IDOR","F",2.06491076186038
"506","IDOR","F",2.07871967662491
"507","IDOR","P",3.78042950757708
"508","IDOR","P",4.2412584381025
"509","IDOR","T",3.39175217284109
"510","IDOR","T",3.32838851652446
"511","IDOR","O",3.60937691212635
"512","IDOR","O",3.90234615040022
"513","IDOR","hemisphere",NA
"514","IDOR","hemisphere",NA
"515","IDOR","F",1.88983483914756
"516","IDOR","F",1.91894744537047
"517","IDOR","P",4.19666418726438
"518","IDOR","P",4.86327849521464
"519","IDOR","T",3.4318290194812
"520","IDOR","T",3.62956111689176
"521","IDOR","O",3.25860739710432
"522","IDOR","O",3.22513957117647
"523","IDOR","hemisphere",NA
"524","IDOR","hemisphere",NA
"525","IDOR","F",2.06734583558218
"526","IDOR","F",2.10221578125042
"527","IDOR","P",4.60104309781088
"528","IDOR","P",4.54016781817546
"529","IDOR","T",3.70340524655458
"530","IDOR","T",3.63545738370638
"531","IDOR","O",3.40802947387527
"532","IDOR","O",3.27621791177221
"533","IDOR","hemisphere",NA
"534","IDOR","hemisphere",NA
"535","IDOR","F",1.97513691273651
"536","IDOR","F",1.97804092830669
"537","IDOR","P",4.56946527015034
"538","IDOR","P",3.95588102945993
"539","IDOR","T",3.36111258453602
"540","IDOR","T",3.2845070360733
"541","IDOR","O",3.03124529058077
"542","IDOR","O",3.33916665810277
"543","IDOR","hemisphere",NA
"544","IDOR","hemisphere",NA
"545","IDOR","F",1.95901163812199
"546","IDOR","F",1.84739922998618
"547","IDOR","P",4.41197498437571
"548","IDOR","P",4.59047617400292
"549","IDOR","T",3.7101984147797
"550","IDOR","T",3.85789129038265
"551","IDOR","O",2.95308801626799
"552","IDOR","O",2.85402771233885
"553","IDOR","hemisphere",NA
"554","IDOR","hemisphere",NA
"555","IDOR","F",2.11967184938875
"556","IDOR","F",1.98884502786125
"557","IDOR","P",3.6026889577796
"558","IDOR","P",3.93179115004381
"559","IDOR","T",3.30787777322318
"560","IDOR","T",3.67475247444231
"561","IDOR","O",3.83493658312483
"562","IDOR","O",3.55107442704341
"563","IDOR","hemisphere",NA
"564","IDOR","hemisphere",NA
"565","IDOR","F",1.77675931751552
"566","IDOR","F",1.81710834534162
"567","IDOR","P",4.88326256015281
