rh.pial.area	rh.pial	BrainSegVolNotVent	eTIV
SUBJ115/SUBJ115_ses-1	99134.0	990650.0	1615984.24079
SUBJ115/SUBJ115_ses-1.long.SUBJ115_tmpl	98600.0	980659.0	1617584.92487
SUBJ118/SUBJ118_ses-1	124965.0	1308133.0	1792509.18817
SUBJ118/SUBJ118_ses-1.long.SUBJ118_tmpl	124843.0	1300188.0	1792274.85176
SUBJ118/SUBJ118_ses-2	124955.0	1282398.0	1789417.03275
SUBJ118/SUBJ118_ses-2.long.SUBJ118_tmpl	123298.0	1270689.0	1792274.85176
SUBJ118/SUBJ118_ses-3	122685.0	1281485.0	1799954.00148
SUBJ118/SUBJ118_ses-3.long.SUBJ118_tmpl	123700.0	1278152.0	1792274.85176
SUBJ119/SUBJ119_ses-1	112256.0	1194979.0	1645302.62517
SUBJ119/SUBJ119_ses-1.long.SUBJ119_tmpl	111161.0	1190120.0	1628499.77942
SUBJ119/SUBJ119_ses-2	110949.0	1175131.0	1635863.08199
SUBJ119/SUBJ119_ses-2.long.SUBJ119_tmpl	110235.0	1169326.0	1628499.77942
SUBJ119/SUBJ119_ses-3	114312.0	1200520.0	1579909.59369
SUBJ119/SUBJ119_ses-3.long.SUBJ119_tmpl	112777.0	1206058.0	1628499.77942
SUBJ120/SUBJ120_ses-1	102037.0	1054103.0	1508461.17778
SUBJ120/SUBJ120_ses-1.long.SUBJ120_tmpl	101267.0	1046951.0	1510890.93443
SUBJ121/SUBJ121_ses-1	114573.0	1212631.0	1892282.08501
SUBJ121/SUBJ121_ses-1.long.SUBJ121_tmpl	113312.0	1202540.0	1892220.7352
SUBJ123/SUBJ123_ses-1	113040.0	1133024.0	1754070.47651
SUBJ123/SUBJ123_ses-1.long.SUBJ123_tmpl	111391.0	1105434.0	1754101.54236
SUBJ124/SUBJ124_ses-1	95639.0	957023.0	1432128.5871
SUBJ124/SUBJ124_ses-1.long.SUBJ124_tmpl	94371.0	947319.0	1408987.84828
SUBJ124/SUBJ124_ses-2	94512.0	941949.0	1418508.76283
SUBJ124/SUBJ124_ses-2.long.SUBJ124_tmpl	93812.0	935642.0	1408987.84828
SUBJ124/SUBJ124_ses-3	96275.0	945223.0	1255418.36234
SUBJ124/SUBJ124_ses-3.long.SUBJ124_tmpl	95796.0	948515.0	1408987.84828
SUBJ125/SUBJ125_ses-1	98283.0	979762.0	1425849.60398
SUBJ125/SUBJ125_ses-1.long.SUBJ125_tmpl	97069.0	971806.0	1424423.33692
SUBJ125/SUBJ125_ses-2	97222.0	972718.0	1422462.10536
SUBJ125/SUBJ125_ses-2.long.SUBJ125_tmpl	96340.0	961561.0	1424423.33692
SUBJ125/SUBJ125_ses-3	98911.0	979316.0	1349300.81278
SUBJ125/SUBJ125_ses-3.long.SUBJ125_tmpl	98255.0	969891.0	1424423.33692
SUBJ128/SUBJ128_ses-1	99276.0	1037919.0	1492650.37953
SUBJ128/SUBJ128_ses-1.long.SUBJ128_tmpl	98496.0	1032833.0	1496853.86462
SUBJ128/SUBJ128_ses-2	99114.0	1038105.0	1508311.09138
SUBJ128/SUBJ128_ses-2.long.SUBJ128_tmpl	97752.0	1023538.0	1496853.86462
SUBJ128/SUBJ128_ses-3	99798.0	1030541.0	1395121.10716
SUBJ128/SUBJ128_ses-3.long.SUBJ128_tmpl	99273.0	1020765.0	1496853.86462
SUBJ129/SUBJ129_ses-1	92207.0	998056.0	1321249.875
SUBJ129/SUBJ129_ses-1.long.SUBJ129_tmpl	91365.0	987071.0	1327694.52926
SUBJ129/SUBJ129_ses-2	92460.0	990980.0	1309034.17684
SUBJ129/SUBJ129_ses-2.long.SUBJ129_tmpl	91092.0	982693.0	1327694.52926
